team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;season_max_victories;goals_ratio
Pittsburgh Penguins;2009;47;28;7;0.573;257;237;20;54;1.0843881856540085
San Jose Sharks;2009;51;20;11;0.622;264;215;49;54;1.2279069767441861
St. Louis Blues;2009;40;32;10;0.488;225;223;2;54;1.0089686098654709
Tampa Bay Lightning;2009;34;36;12;0.415;217;260;-43;54;0.8346153846153846
Toronto Maple Leafs;2009;30;38;14;0.366;214;267;-53;54;0.8014981273408239
Vancouver Canucks;2009;49;28;5;0.598;272;222;50;54;1.2252252252252251
Washington Capitals;2009;54;15;13;0.659;318;233;85;54;1.3648068669527897
Anaheim Ducks;2010;47;30;5;0.573;239;235;4;54;1.0170212765957447
Atlanta Thrashers;2010;34;36;12;0.415;223;269;-46;54;0.828996282527881
Boston Bruins;2010;46;25;11;0.561;246;195;51;54;1.2615384615384615
Buffalo Sabres;2010;43;29;10;0.524;245;229;16;54;1.0698689956331877
Calgary Flames;2010;41;29;12;0.5;250;237;13;54;1.0548523206751055
Carolina Hurricanes;2010;40;31;11;0.488;236;239;-3;54;0.9874476987447699
Columbus Blue Jackets;2010;34;35;13;0.415;215;258;-43;54;0.8333333333333334
Chicago Blackhawks;2010;44;29;9;0.537;258;225;33;54;1.1466666666666667
Colorado Avalanche;2010;30;44;8;0.366;227;288;-61;54;0.7881944444444444
Dallas Stars;2010;42;29;11;0.512;227;233;-6;54;0.9742489270386266
Detroit Red Wings;2010;47;25;10;0.573;261;241;20;54;1.0829875518672198
Edmonton Oilers;2010;25;45;12;0.305;193;269;-76;54;0.7174721189591078
Florida Panthers;2010;30;40;12;0.366;195;229;-34;54;0.851528384279476
Los Angeles Kings;2010;46;30;6;0.561;219;198;21;54;1.106060606060606
Minnesota Wild;2010;39;35;8;0.476;206;233;-27;54;0.8841201716738197
Montreal Canadiens;2010;44;30;8;0.537;216;209;7;54;1.0334928229665072
Nashville Predators;2010;44;27;11;0.537;219;194;25;54;1.1288659793814433
New Jersey Devils;2010;38;39;5;0.463;174;209;-35;54;0.8325358851674641
New York Islanders;2010;30;39;13;0.366;229;264;-35;54;0.8674242424242424
New York Rangers;2010;44;33;5;0.537;233;198;35;54;1.1767676767676767
Ottawa Senators;2010;32;40;10;0.39;192;250;-58;54;0.768
Philadelphia Flyers;2010;47;23;12;0.573;259;223;36;54;1.1614349775784754
Phoenix Coyotes;2010;43;26;13;0.524;231;226;5;54;1.0221238938053097
Pittsburgh Penguins;2010;49;25;8;0.598;238;199;39;54;1.1959798994974875
San Jose Sharks;2010;48;25;9;0.585;248;213;35;54;1.164319248826291
St. Louis Blues;2010;38;33;11;0.463;240;234;6;54;1.0256410256410255
Tampa Bay Lightning;2010;46;25;11;0.561;247;240;7;54;1.0291666666666666
Toronto Maple Leafs;2010;37;34;11;0.451;218;251;-33;54;0.8685258964143426
Vancouver Canucks;2010;54;19;9;0.659;262;185;77;54;1.4162162162162162
Washington Capitals;2010;48;23;11;0.585;224;197;27;54;1.1370558375634519
Anaheim Ducks;2011;34;36;12;0.415;204;231;-27;51;0.8831168831168831
Boston Bruins;2011;49;29;4;0.598;269;202;67;51;1.3316831683168318
Buffalo Sabres;2011;39;32;11;0.476;218;230;-12;51;0.9478260869565217
Calgary Flames;2011;37;29;16;0.451;202;226;-24;51;0.8938053097345132
Carolina Hurricanes;2011;33;33;16;0.402;213;243;-30;51;0.8765432098765432
Columbus Blue Jackets;2011;29;46;7;0.354;202;262;-60;51;0.7709923664122137
Chicago Blackhawks;2011;45;26;11;0.549;248;238;10;51;1.0420168067226891
Colorado Avalanche;2011;41;35;6;0.5;208;220;-12;51;0.9454545454545454
Dallas Stars;2011;42;35;5;0.512;211;222;-11;51;0.9504504504504504
Detroit Red Wings;2011;48;28;6;0.585;248;203;45;51;1.2216748768472907
Edmonton Oilers;2011;32;40;10;0.39;212;239;-27;51;0.8870292887029289
Florida Panthers;2011;38;26;18;0.463;203;227;-24;51;0.8942731277533039
Los Angeles Kings;2011;40;27;15;0.488;194;179;15;51;1.0837988826815643
Minnesota Wild;2011;35;36;11;0.427;177;226;-49;51;0.7831858407079646
Montreal Canadiens;2011;31;35;16;0.378;212;226;-14;51;0.9380530973451328
Nashville Predators;2011;48;26;8;0.585;237;210;27;51;1.1285714285714286
New Jersey Devils;2011;48;28;6;0.585;228;209;19;51;1.0909090909090908
New York Islanders;2011;34;37;11;0.415;203;255;-52;51;0.796078431372549
New York Rangers;2011;51;24;7;0.622;226;187;39;51;1.2085561497326203
Ottawa Senators;2011;41;31;10;0.5;249;240;9;51;1.0375
Philadelphia Flyers;2011;47;26;9;0.573;264;232;32;51;1.1379310344827587
Phoenix Coyotes;2011;42;27;13;0.512;216;204;12;51;1.0588235294117647
Pittsburgh Penguins;2011;51;25;6;0.622;282;221;61;51;1.2760180995475112
San Jose Sharks;2011;43;29;10;0.524;228;210;18;51;1.0857142857142856
St. Louis Blues;2011;49;22;11;0.598;210;165;45;51;1.2727272727272727
Tampa Bay Lightning;2011;38;36;8;0.463;235;281;-46;51;0.8362989323843416
Toronto Maple Leafs;2011;35;37;10;0.427;231;264;-33;51;0.875
Vancouver Canucks;2011;51;22;9;0.622;249;198;51;51;1.2575757575757576
Washington Capitals;2011;42;32;8;0.512;222;230;-8;51;0.9652173913043478
Winnipeg Jets;2011;37;35;10;0.451;225;246;-21;51;0.9146341463414634
