team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;season_max_victories;goals_ratio
St. Louis Blues;1995;32;34;0;0.39;219;248;-29;62;0.8830645161290323
Tampa Bay Lightning;1995;38;32;0;0.463;238;248;-10;62;0.9596774193548387
Toronto Maple Leafs;1995;34;36;0;0.415;247;252;-5;62;0.9801587301587301
Vancouver Canucks;1995;32;35;0;0.39;278;278;0;62;1.0
Washington Capitals;1995;39;32;0;0.476;234;204;30;62;1.1470588235294117
Winnipeg Jets;1995;36;40;0;0.439;275;291;-16;62;0.9450171821305842
Mighty Ducks of Anaheim;1996;36;33;0;0.439;245;233;12;49;1.0515021459227467
Boston Bruins;1996;26;47;0;0.317;234;300;-66;49;0.78
Buffalo Sabres;1996;40;30;0;0.488;237;208;29;49;1.1394230769230769
Calgary Flames;1996;32;41;0;0.39;214;239;-25;49;0.895397489539749
Chicago Blackhawks;1996;34;35;0;0.415;223;210;13;49;1.061904761904762
Colorado Avalanche;1996;49;24;0;0.598;277;205;72;49;1.351219512195122
Dallas Stars;1996;48;26;0;0.585;252;198;54;49;1.2727272727272727
Detroit Red Wings;1996;38;26;0;0.463;253;197;56;49;1.284263959390863
Edmonton Oilers;1996;36;37;0;0.439;252;247;5;49;1.0202429149797572
Florida Panthers;1996;35;28;0;0.427;221;201;20;49;1.099502487562189
Hartford Whalers;1996;32;39;0;0.39;226;256;-30;49;0.8828125
Los Angeles Kings;1996;28;43;0;0.341;214;268;-54;49;0.7985074626865671
Montreal Canadiens;1996;31;36;0;0.378;249;276;-27;49;0.9021739130434783
New Jersey Devils;1996;45;23;0;0.549;231;182;49;49;1.2692307692307692
New York Islanders;1996;29;41;0;0.354;240;250;-10;49;0.96
